Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 1,15 light years,23,0.76,25
Dealer 2,21st century power solutions llc,2,0,1
Dealer 3,360 solar energy inc,4,0,1
Dealer 4,93 energy,6,1,3
Dealer 5,a & r solar corporation,3,0,2
Dealer 6,a.m. shine electric inc,2,0,1
Dealer 7,a.m. sun solar energy systems,1,0,1
Dealer 8,a1 sun inc,6,0,1
Dealer 9,above all construction,0,0,1
Dealer 10,absolute electric and solar,3,0,1
Dealer 11,absolutely energized solar electric inc,2,0,1
Dealer 12,"absolute solar, llc",0,0,3
Dealer 13,a-c electric company,8,0,1
Dealer 14,ac solar,4,0,1
Dealer 15,accessible solar and energy storage inc,2,0,1
Dealer 16,acro electric inc,5,0,1
Dealer 17,active solar inc,2,0,1
Dealer 18,accord power inc,0,0,1
Dealer 19,ad solar inc,2,0,1
Dealer 20,"adce investments llc, dba vale sollar",9,0,3
Dealer 21,advanced alternative energy solutions,4,1,1
Dealer 22,ad energy,0,0,52
Dealer 23,advanced solar electric,1,0,1
Dealer 24,aec solar energy corp,130,0.9,10
Dealer 25,aegis electrical systems llc,8,0,1
Dealer 26,aeon solar,2,0,1
Dealer 27,"air sun, inc",126,0.833333333,42
Dealer 28,airstream services,1,0,1
Dealer 29,albion power,3,0,1
Dealer 30,all in 1 energy pros,1,0,1
Dealer 31,all solar & energy solutions llc,2,0,1
Dealer 32,all solar electric inc,5,0,1
Dealer 33,allen energy,9,0,1
Dealer 34,all bay solar,0,0,18
Dealer 35,allied energy inc,2,0,1
Dealer 36,all bay solar construction inc,0,0,3
Dealer 37,allterra solar,18,0,1
Dealer 38,allura solar,2,0,1
Dealer 39,all on electric inc,0,0,3
Dealer 40,altenergy,2,0,1
Dealer 41,"alteris renewables inc, dba real goods solar",10,0,1
Dealer 42,alternative energy systems inc,125,0.689655172,29
Dealer 43,alternative energy technologies llc,4,0,1
Dealer 44,"alternative power generation inc, dba apg solar",2,0,1
Dealer 45,ambassador energy inc,2,0,1
Dealer 46,ambrose construction,880,0.795454545,88
Dealer 47,ameco solar inc,6,0,1
Dealer 48,american renewable energy,10,0,1
Dealer 49,american solar,7,0,1
Dealer 50,ameritech solar,1,0,1
Dealer 51,andy's heating and airconditioning inc,4,0,1
Dealer 52,"angle homes inc, dba angle solar solution",6,0,1
Dealer 53,anthony fiore construction inc,2,0,1
Dealer 54,anthony lewis inc,3,0,1
Dealer 55,apex solar inc,2,0,1
Dealer 56,aram solar,3,0,1
Dealer 57,are solar,2,0,1
Dealer 58,amgreen solutions inc,0,0,1
Dealer 59,argand energy solutions,7,0,1
Dealer 60,arise solar,27,0.666666667,3
Dealer 61,arizona solar concepts,210,0.828571429,35
Dealer 62,arizona solar power llc,6,0,1
Dealer 63,"arizona solar solutions, dba premier solar solutions",12,0,1
Dealer 64,astrum solar,1,0,1
Dealer 65,atomic solar energy inc,4,0,1
Dealer 66,aurora energy inc,12,0,1
Dealer 67,aztec solar power llc,8,0,1
Dealer 68,baker renewable energy,4,0,1
Dealer 69,barnum & celillo electric inc,1,0,1
Dealer 70,bass electric,1,0,1
Dealer 71,bay area energy solutions,1,0,1
Dealer 72,"bay area solar solutions inc, dba your energy solutions",4,0,1
Dealer 73,beaumont solar company,3,0,1
Dealer 74,august roofing inc,0,0,1
Dealer 75,befree green energy llc,2,0,1
Dealer 76,berg electric inc,2,0,1
Dealer 77,berger solar electric,24,0.666666667,6
Dealer 78,bestway mechanical,5,0,1
Dealer 79,beutler corporation,2,0,1
Dealer 80,bland a/c and heating inc,2,0,1
Dealer 81,blue raven solar holdings llc,30,0,1
Dealer 82,bluesel home solar,30,0.333333333,6
Dealer 83,bombard electric llc,3,0,1
Dealer 84,bonterra services,2,0,1
Dealer 85,bresco,2,0,1
Dealer 86,brighter electric inc,2,0,1
Dealer 87,bertrand darimont sprl,0,0,1
Dealer 88,brightergy llc,5,0,1
Dealer 89,britestreet solar group,2,0,1
Dealer 90,burtek energy llc,16,0.75,4
Dealer 91,blake roofing,0,0,73
Dealer 92,byers solar systems,162,0.333333333,6
Dealer 93,cal valley solar,2,0,1
Dealer 94,california premier solar,536,0.910447761,67
Dealer 95,california solar concepts inc,2,0,1
Dealer 96,california solar electric,126,0.666666667,9
Dealer 97,california solar electric company,72,0.666666667,12
Dealer 98,california solar engineering,2,0,1
Dealer 99,bright house energy,0,0,54
Dealer 100,"california solar innovators inc, dba calsolar",160,0.9,20
Dealer 101,california solar systems,4,0,1
Dealer 102,cape fear solar systems llc,20,0,1
Dealer 103,capital city solar electric,33,1,11
Dealer 104,capital energy conservation,2,0,1
Dealer 105,capital sun group ltd,1,0,1
Dealer 106,carnahan electric ltd / aes,2,0,1
Dealer 107,catskill solar,2,0,1
Dealer 108,cavalti llc,2,0,1
Dealer 109,cell energy inc,2,0,1
Dealer 110,century roof & solar,2,0,1
Dealer 111,certasun llc,504,0.958333333,24
Dealer 112,clary solar,2,0,1
Dealer 113,clean currents solar,5,0,1
Dealer 114,clean energy of america,2,0,1
Dealer 115,clean energy usa llc,4,0,1
Dealer 116,clean power systems,9,0,1
Dealer 117,clean solar,5,0,1
Dealer 118,clear solar solutions inc,3,0,1
